timestamp,user_id,persona_type,tab_count,window_switches_15min,focus_session_duration,cognitive_load_score,app_active,task_category,keystrokes_per_min,break_duration_min,interruption_count,core_work_percentage,value_score
2025-07-22T08:00:00,1,developer,2.0,0.0,43.0,0.728,Chrome,admin,35.0,2.0,0.0,0.553,0.089
2025-07-22T08:15:00,1,developer,5.0,1.0,50.0,0.732,Terminal,admin,71.0,0.0,2.0,0.553,0.242
2025-07-22T08:45:00,1,developer,7.0,1.0,20.0,0.643,Terminal,admin,75.0,1.0,0.0,0.553,0.132
2025-07-22T09:00:00,1,developer,5.0,1.0,26.0,0.471,VSCode,communication,51.0,2.0,1.0,0.553,0.261
2025-07-22T09:15:00,1,developer,5.0,0.0,27.0,0.541,Terminal,communication,64.0,1.0,2.0,0.553,0.222
2025-07-22T09:30:00,1,developer,3.0,0.0,29.0,0.458,Chrome,admin,25.0,0.0,2.0,0.553,0.162
2025-07-22T09:45:00,1,developer,1.0,0.0,19.0,0.603,VSCode,communication,59.0,2.0,2.0,0.553,0.208
2025-07-22T10:00:00,1,developer,2.0,0.0,23.0,0.484,VSCode,learning,33.0,2.0,1.0,0.553,0.449
2025-07-22T10:15:00,1,developer,1.0,0.0,24.0,0.587,VSCode,development,51.0,16.0,2.0,0.553,0.371
2025-07-22T10:30:00,1,developer,5.0,1.0,24.0,0.675,VSCode,analysis,61.0,8.0,0.0,0.553,0.27
2025-07-22T10:45:00,1,developer,7.0,1.0,39.0,0.42,VSCode,analysis,66.0,1.0,4.0,0.553,0.374
2025-07-22T11:00:00,1,developer,7.0,1.0,46.0,0.776,Slack,development,46.0,0.0,3.0,0.553,0.384
2025-07-22T11:15:00,1,developer,5.0,1.0,45.0,0.554,VSCode,development,30.0,1.0,1.0,0.553,0.509
2025-07-22T11:30:00,1,developer,1.0,0.0,47.0,0.676,VSCode,learning,48.0,1.0,1.0,0.553,0.533
2025-07-22T11:45:00,1,developer,8.0,1.0,29.0,0.581,Terminal,development,71.0,14.0,1.0,0.553,0.426
2025-07-22T12:15:00,1,developer,2.0,0.0,32.0,0.435,Terminal,learning,44.0,1.0,0.0,0.553,0.483
2025-07-22T12:30:00,1,developer,6.0,1.0,22.0,0.828,Chrome,development,25.0,1.0,0.0,0.553,0.39
2025-07-22T12:45:00,1,developer,7.0,1.0,49.0,0.488,VSCode,development,43.0,1.0,1.0,0.553,0.517
